step,b1_x,b1_y,b2_x,b2_y,b3_x,b3_y
0,0.99997,0.00501768,-0.99997,-0.00498232,-0.005,0.999965
1,0.999879,0.0100704,-0.999879,-0.00992899,-0.00999965,0.999859
2,0.999728,0.0151579,-0.999729,-0.0148397,-0.0149986,0.999682
3,0.999515,0.0202798,-0.999519,-0.0197141,-0.0199965,0.999434
4,0.999242,0.025436,-0.999249,-0.024552,-0.0249929,0.999116
5,0.998907,0.030626,-0.99892,-0.0293529,-0.0299876,0.998727
6,0.998511,0.0358495,-0.998531,-0.0341166,-0.0349802,0.998267
7,0.998053,0.0411064,-0.998083,-0.0388428,-0.0399703,0.997736
8,0.997533,0.0463963,-0.997575,-0.0435312,-0.0449575,0.997135
9,0.996951,0.0517189,-0.997009,-0.0481813,-0.0499416,0.996462
10,0.996306,0.0570739,-0.996384,-0.052793,-0.0549221,0.995719
11,0.995599,0.0624611,-0.995701,-0.0573657,-0.0598987,0.994905
12,0.994829,0.0678801,-0.994958,-0.0618993,-0.064871,0.994019
13,0.993996,0.0733308,-0.994158,-0.0663934,-0.0698387,0.993063
14,0.9931,0.0788127,-0.993298,-0.0708475,-0.0748014,0.992035
15,0.99214,0.0843257,-0.992381,-0.0752615,-0.0797587,0.990936
16,0.991116,0.0898694,-0.991405,-0.0796348,-0.0847103,0.989765
17,0.990028,0.0954436,-0.990372,-0.0839672,-0.0896558,0.988524
18,0.988875,0.101048,-0.98928,-0.0882583,-0.0945949,0.98721
19,0.987658,0.106682,-0.988131,-0.0925076,-0.0995271,0.985825
20,0.986376,0.112346,-0.986923,-0.096715,-0.104452,0.984369
21,0.985028,0.118039,-0.985658,-0.10088,-0.10937,0.982841
22,0.983615,0.123762,-0.984336,-0.105002,-0.114279,0.98124
23,0.982136,0.129513,-0.982955,-0.109081,-0.11918,0.979568
24,0.98059,0.135292,-0.981518,-0.113116,-0.124073,0.977824
25,0.978978,0.1411,-0.980023,-0.117107,-0.128956,0.976007
26,0.9773,0.146936,-0.97847,-0.121053,-0.13383,0.974118
27,0.975554,0.152799,-0.97686,-0.124955,-0.138694,0.972156
28,0.97374,0.15869,-0.975193,-0.128812,-0.143548,0.970122
29,0.971859,0.164607,-0.973468,-0.132622,-0.148391,0.968015
30,0.969909,0.170552,-0.971686,-0.136387,-0.153223,0.965835
31,0.96789,0.176523,-0.969847,-0.140105,-0.158043,0.963582
32,0.965803,0.18252,-0.967951,-0.143775,-0.162852,0.961256
33,0.963646,0.188543,-0.965998,-0.147399,-0.167648,0.958856
34,0.961419,0.194592,-0.963988,-0.150974,-0.172432,0.956382
35,0.959122,0.200665,-0.96192,-0.1545,-0.177202,0.953835
36,0.956755,0.206764,-0.959795,-0.157978,-0.181959,0.951214
37,0.954316,0.212888,-0.957614,-0.161406,-0.186703,0.948518
38,0.951806,0.219035,-0.955375,-0.164784,-0.191431,0.945749
39,0.949224,0.225207,-0.953079,-0.168112,-0.196145,0.942904
40,0.94657,0.231403,-0.950726,-0.171388,-0.200844,0.939985
41,0.943843,0.237622,-0.948316,-0.174613,-0.205527,0.936991
42,0.941043,0.243864,-0.945849,-0.177785,-0.210194,0.933922
43,0.938169,0.250128,-0.943324,-0.180905,-0.214845,0.930777
44,0.935221,0.256415,-0.940743,-0.183972,-0.219478,0.927556
45,0.932198,0.262724,-0.938104,-0.186984,-0.224094,0.92426
46,0.9291,0.269055,-0.935408,-0.189942,-0.228692,0.920887
47,0.925926,0.275407,-0.932654,-0.192845,-0.233272,0.917438
48,0.922676,0.28178,-0.929844,-0.195692,-0.237832,0.913912
49,0.919349,0.288174,-0.926976,-0.198483,-0.242374,0.910309
50,0.915945,0.294587,-0.92405,-0.201216,-0.246895,0.906629
51,0.912464,0.301021,-0.921067,-0.203892,-0.251397,0.902871
52,0.908903,0.307474,-0.918026,-0.206509,-0.255877,0.899036
53,0.905264,0.313946,-0.914928,-0.209067,-0.260336,0.895122
54,0.901545,0.320436,-0.911772,-0.211566,-0.264774,0.891129
55,0.897746,0.326945,-0.908558,-0.214003,-0.269189,0.887058
56,0.893867,0.333471,-0.905286,-0.216379,-0.273581,0.882908
57,0.889906,0.340015,-0.901956,-0.218693,-0.27795,0.878678
58,0.885863,0.346576,-0.898568,-0.220944,-0.282295,0.874368
59,0.881737,0.353153,-0.895122,-0.223131,-0.286616,0.869978
